Wochentag;Datum;Startzeit;Tage Saison;Max Kap;davon freie Kap;Auslastung %;Gesamt;MGL Gesa.;Gäste;Jugend;MGL 18-40;MGL 40-50;MGL 50-65;MGL 65+;Sperrung.;Internet
Mi;11.08.21;09:30 - 09:40;;4;0;1;4;0;4;0;0;0;0;0;0;0
Mi;11.08.21;10:00 - 10:10;;4;0;1;4;4;0;0;0;0;0;4;0;4
Mi;11.08.21;10:10 - 10:20;;4;0;1;4;4;0;0;0;0;0;4;0;4
Mi;11.08.21;17:30 - 17:40;;4;0;1;4;3;1;1;0;0;2;0;0;4
Do;12.08.21;16:00 - 16:10;;4;0;1;4;2;2;0;0;0;1;1;0;3
Fr;13.08.21;13:30 - 13:40;;4;0;1;4;2;2;0;0;0;2;0;0;4
Fr;13.08.21;13:50 - 14:00;;4;0;1;4;4;0;0;2;0;1;1;0;3
Sa;14.08.21;08:30 - 08:40;;4;0;1;4;3;1;2;0;0;1;0;0;3
Sa;14.08.21;12:10 - 12:20;;4;0;1;4;4;0;1;0;0;3;0;0;2
Sa;14.08.21;13:50 - 14:00;;4;0;1;4;4;0;0;1;0;3;0;0;4
Sa;14.08.21;14:00 - 14:10;;4;0;1;4;0;4;0;0;0;0;0;0;0
Sa;14.08.21;14:30 - 14:40;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;15.08.21;10:00 - 10:10;;4;0;1;4;0;4;0;0;0;0;0;0;0
So;15.08.21;10:20 - 10:30;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;15.08.21;10:30 - 10:40;;4;0;1;4;2;2;0;0;2;0;0;0;4
So;15.08.21;11:20 - 11:30;;4;0;1;4;1;3;0;0;0;0;1;0;0
So;15.08.21;12:00 - 12:10;;4;0;1;4;3;1;0;2;0;0;1;0;0
So;15.08.21;12:30 - 12:40;;4;0;1;4;4;0;0;4;0;0;0;0;4
So;15.08.21;13:20 - 13:30;;4;0;1;4;4;0;0;0;1;3;0;0;4
So;15.08.21;13:50 - 14:00;;4;0;1;4;4;0;0;2;0;2;0;0;4
So;15.08.21;14:30 - 14:40;;4;0;1;4;0;4;0;0;0;0;0;0;0
So;15.08.21;14:40 - 14:50;;4;0;1;4;4;0;0;0;0;0;4;0;0
So;15.08.21;15:50 - 16:00;;4;0;1;4;4;0;1;0;1;2;0;0;4
So;15.08.21;16:20 - 16:30;;4;0;1;4;4;0;1;1;1;1;0;0;4
