Wochentag,Max Kap,davon freie Kap,Auslastung %,Gesamt,MGL Gesa.,Gäste,Jugend,MGL 18-40,MGL 40-50,MGL 50-65,MGL 65+,Sperrung.,Internet,time,Auslastung Gesamt,Auslastung Gäste,Auslastung MGL Gesa.,Auslastung MGL Jugend,Auslastung MGL 18-40,Auslastung MGL 40-50,Auslastung MGL 50-65,Auslastung MGL 65+,Jahr,Monat,Tag,Weekend,Stunde,Minute,Saison,monat_text
So,4,0,1.0,4,4,0,1,1,0,2,0,0,3,10:20,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,5,2,True,10,20,April - Mai,Mai
So,4,0,1.0,4,4,0,2,0,2,0,0,0,4,17:10,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,2021,5,2,True,17,10,April - Mai,Mai
Mi,4,0,1.0,4,4,0,0,0,0,0,4,0,0,13:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,5,5,False,13,0,April - Mai,Mai
Mi,4,0,1.0,4,4,0,0,0,0,1,3,0,0,13:40,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.75,2021,5,5,False,13,40,April - Mai,Mai
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,09:30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,5,6,False,9,30,April - Mai,Mai
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,10:10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,5,6,False,10,10,April - Mai,Mai
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,10:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,5,6,False,10,50,April - Mai,Mai
Mi,4,0,1.0,4,4,0,4,0,0,0,0,0,0,17:00,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2021,6,16,False,17,0,Juni - Juli,Jun
Do,4,0,1.0,4,0,4,0,0,0,0,0,0,0,07:40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,17,False,7,40,Juni - Juli,Jun
Do,4,0,1.0,4,3,1,0,0,0,0,3,0,0,12:50,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,2021,6,17,False,12,50,Juni - Juli,Jun
Do,4,0,1.0,4,3,1,0,0,0,0,3,0,0,13:20,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,2021,6,17,False,13,20,Juni - Juli,Jun
Do,4,0,1.0,4,3,1,0,1,0,1,1,0,3,17:40,1.0,0.25,0.75,0.0,0.25,0.0,0.25,0.25,2021,6,17,False,17,40,Juni - Juli,Jun
Do,4,0,1.0,4,0,4,0,0,0,0,0,0,0,18:50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,17,False,18,50,Juni - Juli,Jun
Fr,4,0,1.0,4,4,0,0,0,0,2,2,0,3,16:00,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,6,18,False,16,0,Juni - Juli,Jun
Fr,4,0,1.0,4,4,0,0,1,2,1,0,0,4,17:00,1.0,0.0,1.0,0.0,0.25,0.5,0.25,0.0,2021,6,18,False,17,0,Juni - Juli,Jun
Sa,4,0,1.0,4,0,4,0,0,0,0,0,0,0,07:40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,19,True,7,40,Juni - Juli,Jun
Sa,4,0,1.0,4,0,4,0,0,0,0,0,0,0,07:50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,19,True,7,50,Juni - Juli,Jun
Sa,4,0,1.0,4,4,0,0,0,2,2,0,0,4,09:30,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,2021,6,19,True,9,30,Juni - Juli,Jun
Sa,4,0,1.0,4,0,4,0,0,0,0,0,0,0,11:50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,19,True,11,50,Juni - Juli,Jun
Sa,4,0,1.0,4,0,4,0,0,0,0,0,0,0,12:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,19,True,12,0,Juni - Juli,Jun
Sa,4,0,1.0,4,4,0,0,0,0,2,2,0,3,15:30,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,6,19,True,15,30,Juni - Juli,Jun
So,4,0,1.0,4,4,0,0,0,0,0,4,0,2,17:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,6,20,True,17,0,Juni - Juli,Jun
Di,4,0,1.0,4,1,3,0,0,0,0,1,0,4,16:20,1.0,0.75,0.25,0.0,0.0,0.0,0.0,0.25,2021,6,22,False,16,20,Juni - Juli,Jun
Fr,4,0,1.0,4,0,4,0,0,0,0,0,0,2,09:20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,25,False,9,20,Juni - Juli,Jun
Fr,4,0,1.0,4,4,0,1,3,0,0,0,0,3,13:50,1.0,0.0,1.0,0.25,0.75,0.0,0.0,0.0,2021,6,25,False,13,50,Juni - Juli,Jun
Fr,4,0,1.0,4,2,2,0,0,0,2,0,0,2,15:30,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,2021,6,25,False,15,30,Juni - Juli,Jun
Fr,4,0,1.0,4,4,0,0,0,0,3,1,0,4,15:40,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.25,2021,6,25,False,15,40,Juni - Juli,Jun
Fr,4,0,1.0,4,4,0,0,0,0,0,4,0,4,16:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,6,25,False,16,50,Juni - Juli,Jun
Fr,4,0,1.0,4,4,0,0,0,0,0,4,0,4,18:20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,6,25,False,18,20,Juni - Juli,Jun
Fr,4,0,1.0,4,4,0,3,0,1,0,0,0,3,18:40,1.0,0.0,1.0,0.75,0.0,0.25,0.0,0.0,2021,6,25,False,18,40,Juni - Juli,Jun
Sa,4,0,1.0,4,4,0,1,1,0,2,0,0,3,06:00,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,6,26,True,6,0,Juni - Juli,Jun
Sa,4,0,1.0,4,4,0,1,0,0,1,2,0,2,13:50,1.0,0.0,1.0,0.25,0.0,0.0,0.25,0.5,2021,6,26,True,13,50,Juni - Juli,Jun
